height_of_video_wall,width_of_video_wall,room_length,room_width,room_height,seating_type,number_of_seats,distance_from_video_wall,seats_per_row,number_of_rows,seats_per_cluster,number_of_clusters
2.4184815819561254,3.540721525803928,18.402522751927627,12.625969434790413,3.3418605481305206,row,30,7.148725761050646,16.0,2.0,,
2.8764339456056547,5.735386683817856,24.052336930496377,15.91077048188472,4.853343451520963,row,89,6.090582006403256,2.0,45.0,,
3.099085529881075,5.898703858078787,10.783868189290356,11.321930042933257,5.391226395918999,row,42,2.685768363533888,1.0,42.0,,
3.3682099526511076,5.804932711897019,16.28189978611242,7.735613529907303,4.85582245818926,row,89,4.6145370653307864,8.0,12.0,,
4.355527884179041,4.159749758301123,13.902366864430768,11.860973611166576,5.385226565372723,row,57,20.812241933190705,8.0,8.0,,
2.5990213464750793,5.517149278462597,20.962314474710947,19.277831575025942,3.8894725677261595,row,21,6.079495663104842,9.0,3.0,,
3.5427033152408347,5.455922894872746,24.7194563574587,15.342547164881257,3.0471093974810133,row,98,9.211291492601177,22.0,5.0,,
3.7772437065861273,3.6168516563513946,13.847950936663718,15.72922893267369,5.082828315891573,row,91,2.784561602290273,12.0,8.0,,
2.139351238159993,5.401204159527371,19.812619022111114,15.219667997289317,3.761660767995439,cluster,56,1.4313287376756247,,,1.0,56.0
3.8226345557043153,2.629526721504224,12.971464491396102,9.586897806472678,4.849447888301963,row,68,14.248168897711478,9.0,8.0,,
2.5115723710618747,4.586944574687186,18.47995381857415,12.438340233329642,3.44725379693618,cluster,71,7.337372796931749,,,2.0,36.0
2.1951547789558385,3.3050309305069607,16.95898730032504,16.762217378723136,2.7843037218233544,row,52,6.12267506498889,14.0,4.0,,
4.84665661176,2.9219841002204756,24.580079944473056,8.31784766819107,5.9740362842071715,cluster,41,7.725863313723326,,,3.0,14.0
4.896896099223678,2.769336205702232,19.127909090446998,10.61208608916626,3.0467052777570975,row,24,18.859799336368297,10.0,3.0,,
4.425192044349384,4.937010715573489,15.242595581302282,10.592148410056097,5.959473478872184,row,37,5.562752293652235,13.0,3.0,,
2.913841307520112,3.6895623731882314,11.711436773319,12.616246058728578,5.9204797639825655,row,57,3.947399311917314,10.0,6.0,,
2.2930163420191514,5.036683700350665,12.268702431024018,19.744793632248406,5.278363363678139,cluster,56,5.90040059141883,,,3.0,19.0
4.05269907953647,2.7287471927962983,13.379753949268526,7.877533106889685,4.807980367286992,cluster,83,7.247277141287242,,,1.0,83.0
3.3204574812188037,3.6035161824071364,13.76449992010447,13.743112926947735,4.522324675878796,cluster,29,5.357835123730793,,,2.0,15.0
2.3661147045343363,4.38821952331368,22.759240867617066,9.331740866158736,5.531355408822421,cluster,98,8.053235606402486,,,6.0,17.0
3.4855307303338106,5.267531076936372,18.418341824237874,19.618795090326675,3.513038325668208,row,61,11.953184466589114,3.0,21.0,,
2.103165563345655,3.6156337602622446,17.850863670615496,8.472945561457035,4.13688424369707,row,67,8.855014365845275,14.0,5.0,,
4.727961206236346,4.690619817529532,11.721533078038263,12.246813030700686,4.667864892782757,row,63,11.2510751538418,5.0,13.0,,
2.7763399448000508,5.600922118826655,22.902095400241524,16.59250480284988,3.939166665543219,cluster,35,2.3012607315336444,,,1.0,35.0
3.9875668530619457,4.6555211586380665,20.842214548127256,16.15920756435679,3.9962025893159376,row,73,6.904466950426405,16.0,5.0,,
2.9351332282682328,3.315358161637718,11.015025428500024,12.495472279621119,3.6559963362572954,cluster,54,14.411576309244317,,,4.0,14.0
3.5602040635334324,2.5854027354478832,20.61752645844653,11.504814183385337,4.474811358395876,cluster,47,11.33271194283726,,,3.0,16.0
3.640130838029839,5.545346058653255,18.153073260139692,12.168960921187317,5.477010848052906,cluster,21,13.445976740764086,,,1.0,21.0
2.554563366576581,2.574442937976355,11.225880186201675,10.43559142106231,3.205349323022095,cluster,32,1.3618638723719718,,,1.0,32.0
4.9087538832936755,5.561455854394698,16.874509622929846,9.669328203188398,5.770515635637045,cluster,60,13.901226742528802,,,3.0,20.0
4.325398470083344,4.351279969095242,17.270444306950704,13.27951606826557,4.911806788118804,row,99,2.893168025467215,17.0,6.0,,
4.818496824692567,5.786736944795137,12.486618102449135,10.490938828878896,5.3814562443801055,cluster,78,14.752001275014017,,,4.0,20.0
4.684482051282947,5.295741325207828,24.185472205004235,10.737001643664252,4.446667424205041,cluster,88,21.752246358732823,,,5.0,18.0
3.7936999364332555,5.992769386866681,22.74963057220993,15.537828825169242,5.228308454984222,row,72,18.429362140407285,9.0,8.0,,
4.765622705069351,3.7274913540809855,20.035335059936624,19.5909853120986,2.556701390688135,cluster,64,13.975126816572152,,,6.0,11.0
2.2654775061557584,5.1851590112589445,16.93443341500911,14.847283607271876,5.364331486728373,cluster,39,5.803975810879067,,,3.0,13.0
2.5879485872574355,3.9067581976323478,16.17648312376763,8.00073307184456,2.640486006798783,row,43,12.299424736604044,5.0,9.0,,
2.1356818667316144,4.179564671063681,19.764602007264312,7.98258698010287,5.614696817270019,row,80,7.541614298879427,11.0,8.0,,
2.975990992289793,4.6962691212642955,18.18147804110358,19.368501870992358,5.971869615335251,row,77,2.3571240170507135,16.0,5.0,,
3.166031869068446,5.557869899652186,10.934096588228284,10.864780273995336,3.5292361176187224,cluster,46,8.218275029644463,,,4.0,12.0
2.814047095321688,5.944292142197533,17.687539731554978,8.196870819072181,3.236114947000278,row,45,4.449297131348253,5.0,9.0,,
4.486212527455788,5.188956948525814,22.096054258492593,14.78757963295496,5.178771773503143,row,26,11.727495409239628,14.0,2.0,,
3.0702599800807677,3.962183737585668,16.88859816395437,15.10743411777346,3.3855921932208863,row,61,7.827919721201159,1.0,61.0,,
2.8428035290621425,3.9747495079697455,10.779348663314027,15.430562661542947,5.529468341102712,cluster,66,8.868556613932272,,,5.0,14.0
3.6280882494747453,5.08153805556112,21.794172990760497,10.476226362148036,2.8599490725511685,row,72,7.6388208318169495,4.0,18.0,,
2.422772674924288,3.3357200101890583,13.020456732039616,7.196438894788176,2.940843187327754,cluster,78,3.0023411405392366,,,1.0,78.0
4.406590942262119,2.886659395959881,13.879312523320582,19.545199802908137,5.927030442852154,cluster,57,12.191880211705797,,,2.0,29.0
2.2236519310393126,3.7411775517427177,12.470595301484439,10.261609593984332,4.858436143945016,row,88,9.419196076704031,9.0,10.0,,
4.960660809801552,3.505336470789286,14.953225973072463,15.788341744683118,5.464105285501335,cluster,72,17.303057871418616,,,7.0,11.0
4.3167343078899725,3.5370784215959654,21.351272585329525,16.186188308423226,3.6351528207303128,cluster,34,8.731265943816007,,,1.0,34.0
2.5961470446025174,3.317627128674685,17.79078789255906,14.930096422033314,4.867693123322115,row,45,12.227472510419853,17.0,3.0,,
2.016566351370807,2.6473261637272665,13.073219112260688,11.067796124777427,4.57984639558009,cluster,67,9.286155097095953,,,1.0,67.0
4.446384285364502,2.5625587715669482,23.167451172280614,10.524251298932855,4.611025420430314,row,38,6.411987592026758,22.0,2.0,,
4.120572031542851,5.957028364076111,23.193727824272937,14.76968767513514,4.888863608382025,cluster,28,2.7911895103620985,,,1.0,28.0
4.187021504122962,3.997205968075518,23.058676375690105,18.25924323695199,4.513757105951845,cluster,83,16.06095051582364,,,2.0,42.0
4.313811040057837,3.845143265058886,13.58194317072309,19.30753847600414,4.001718292559331,row,73,18.222599790258,12.0,7.0,,
2.222133955202271,4.878765489425744,16.768590162714823,8.376775457248849,3.4657294303319137,row,70,10.7893281997704,4.0,18.0,,
3.0753971856328177,3.2638886075277247,24.774844842113126,9.012771963770358,5.190034658196208,cluster,58,13.852400132054214,,,1.0,58.0
2.347607178575389,5.824864143825788,21.580187144649855,19.281571364180035,3.2919535050111515,cluster,23,7.517992387002384,,,2.0,12.0
4.5893102776267805,5.2522075504544325,10.407511318383397,16.5749579683523,4.92324007154045,row,22,13.24124105493712,2.0,11.0,,
3.8698943804826738,2.812938508092908,10.97806886890738,18.478919722787047,3.3166648792726434,cluster,83,2.419785865466494,,,5.0,17.0
2.9926940745579476,3.961532715247249,16.95897065218499,9.634224243759462,4.688655594840588,cluster,48,4.818099828436452,,,3.0,16.0
2.190675050858071,5.576914076467577,23.638303087923404,14.638616324422223,5.114773934951601,cluster,30,5.626237088753451,,,3.0,10.0
2.9329469651469866,5.806562078019936,18.080526969290712,16.11481472742716,3.2654986111728874,cluster,77,9.761632211072646,,,1.0,77.0
2.975549966080241,4.135905289374544,17.467187620514352,15.841454510810644,2.709801553014579,row,94,8.949363014819491,13.0,8.0,,
4.188818535014192,4.646939862237478,11.582105499349458,12.305971981267074,2.9584081004796094,row,46,16.09286256006983,11.0,5.0,,
3.9126724140656393,3.0846188113222635,19.85170157086441,7.20013359198701,4.620989385448589,row,40,6.882199794855718,16.0,3.0,,
4.66163822772898,5.969090191479418,22.331547409003385,14.57803873845542,5.4730624217900745,row,58,14.182040140960224,16.0,4.0,,
3.4166447754858478,3.310850954842052,15.706300112613434,10.290320009334913,2.6574888743239855,row,65,3.0635006969563077,11.0,6.0,,
2.358782737814905,5.799561209472939,21.63417776387991,12.853305199857575,5.069529406645762,row,85,5.570253302065002,2.0,43.0,,
4.139734361668985,4.77376327147329,24.467149808512175,19.448553196089627,3.6946152608251825,cluster,55,16.044466777156245,,,2.0,28.0
4.282355145850692,4.627078782076007,13.056496886915337,12.187459129351652,4.174849294718329,row,94,15.503426780611424,12.0,8.0,,
3.6838315927084886,4.29440978855778,17.84994446792112,17.917420886637547,5.75100842445948,cluster,84,18.264040351623624,,,7.0,12.0
4.312901539863683,3.3073443410121555,14.307069371268632,9.451027874740266,3.661900266575459,cluster,82,7.549777563273546,,,3.0,28.0
3.4813867890931722,3.1178481120192787,21.892816285507593,15.741986474325374,4.1286792687882015,cluster,54,9.545446795300034,,,1.0,54.0
3.568198488145982,3.2717017317456136,18.663900488217365,19.701090407706268,2.547888451662384,row,50,7.075333903092218,13.0,4.0,,
3.282623055075649,3.1525339175048908,19.518736263254556,8.324610311348177,2.7855955200169342,cluster,47,8.149814259107302,,,1.0,47.0
2.0762573802322857,5.228545657483636,21.96871239423841,7.108159248953497,3.405070568971744,row,20,9.04474933246164,7.0,3.0,,
2.3236742809799136,3.7254384070835553,15.939557089936823,12.636576304223986,2.5974828428737604,cluster,44,8.31629277921838,,,4.0,11.0
2.094287557060203,2.7024493679718873,23.726351026105647,8.204131279667774,4.7098136411688785,cluster,62,9.363529009474899,,,1.0,62.0
3.909231233791341,5.89185920549284,17.9954330086921,16.728996545791006,3.9923942488056787,row,86,5.534689531910939,13.0,7.0,,
2.94306794322898,5.5932505973719895,12.36932234253022,18.889132630031266,4.418508209548078,cluster,82,13.038158961132426,,,4.0,21.0
3.525712073494108,5.747132991183245,20.438486772532038,12.642272645213865,3.1112651506371534,cluster,70,2.711026608992932,,,3.0,24.0
4.7226994217782785,5.982177379262524,21.898920256573817,10.363251348020732,3.5357621030281563,cluster,21,21.245992596498244,,,1.0,21.0
2.7478766874466247,3.108633372268206,14.7514251560129,12.647243147085927,4.823385661984538,cluster,83,5.443082095358699,,,7.0,12.0
3.2311487691068894,3.8868470661593055,22.857688854981294,16.404821632050012,5.878559532706399,row,93,6.18973188472294,13.0,8.0,,
4.266653415629146,5.15383466496432,23.592148821486497,7.117704100544823,2.676458707607732,cluster,88,11.965396844756675,,,2.0,44.0
2.6863944964748674,4.936072163188273,14.153567310667134,14.662901863301062,5.616345122993431,cluster,28,12.714989492581633,,,2.0,14.0
2.230939729486379,3.0386356721894927,24.75282209072833,14.972791903535928,4.519084204589229,row,21,1.5951579163288998,22.0,1.0,,
2.869254358741304,5.355415937467162,12.110672920731377,15.289947209647162,4.473718483644683,cluster,53,5.982508351645112,,,5.0,11.0
2.4836638617620133,3.285542001428312,13.03023502603735,10.146287039751403,4.250974873227161,cluster,79,10.815297950687901,,,4.0,20.0
4.789092957027719,3.283361651879181,12.763372588570391,16.28268540391565,2.742879300664642,cluster,80,10.929884166698553,,,6.0,14.0
4.424361138693251,4.379410480126948,23.409845650118058,8.188089322313093,2.814568981076562,cluster,50,6.177319741386911,,,5.0,10.0
3.9002112695312703,4.575289771945961,19.814388284874425,9.59051437406841,4.6031920198068015,row,29,9.405647374436006,18.0,2.0,,
4.614381770563153,4.530301727432339,12.281564248334092,18.407110606508265,3.693355000024454,cluster,95,10.313079840433394,,,8.0,12.0
4.411016230697344,2.8202039308921423,16.604851275525235,16.603400959445363,5.710438233021883,row,55,20.376128866656895,11.0,5.0,,
2.5597101766581076,5.571113019206331,19.229470376047033,7.178692202147488,3.923066880758153,cluster,68,10.056345378237669,,,3.0,23.0
4.677676995469933,3.4296001490604713,11.251961274840749,10.228891384807403,3.0014851054592437,cluster,89,12.971291865944838,,,4.0,23.0
3.6180267257469523,2.9533022244898146,23.236245526110082,9.78728427891114,5.001515917257127,cluster,68,17.90079342690485,,,2.0,34.0
4.422320465492188,5.61061827954142,22.054053031623027,10.520482264480643,3.5267369750435344,row,22,11.470388801874481,7.0,4.0,,
4.688273899770479,5.844780243804137,17.57810160364957,10.218277013638524,4.339146075745626,cluster,93,3.5727940098479927,,,1.0,93.0
2.954010424915592,5.517446660429077,24.506899228887555,7.812841844656995,4.942414749268095,cluster,24,4.9634300761888905,,,2.0,12.0
2.33015577358303,5.333306261537073,16.266414689126496,12.966226715758665,5.650924389207246,row,80,5.737582549066216,15.0,6.0,,
2.683805487625825,4.793346932236576,24.761654785547467,16.525535172220145,5.272669181805867,row,45,3.236835300491035,14.0,4.0,,
3.281323365878769,4.428000797131988,20.018799982054404,14.887512421326672,4.867263737554534,row,91,15.632365836584658,11.0,9.0,,
4.45404429776748,2.8044536596899357,19.520069098809124,15.747331691775038,4.878716138383003,row,24,17.597127471469122,16.0,2.0,,
4.582191749769031,3.9295862457474455,12.489323429436775,8.054939320971108,5.810736254112303,cluster,34,7.823141158543981,,,3.0,12.0
2.020856391593572,3.804409809543099,23.22891637456966,19.369379232298236,3.5353843412378763,cluster,35,6.383118225636411,,,3.0,12.0
3.532241907732697,3.4091382431611414,16.412345318809226,17.90039383995932,2.5038923296866558,cluster,20,13.233619215550222,,,2.0,10.0
3.252233009446337,5.031970397910047,12.433501086737191,17.466174140443613,3.4518409578936953,cluster,35,15.40177932131458,,,3.0,12.0
2.6663234314121906,4.235565072775698,10.189112799636385,17.69878946554298,3.262619828693604,row,56,11.911424168310592,6.0,10.0,,
2.3595961020010483,2.7836617556767678,18.39633525457574,19.125236605725895,4.816421047898993,cluster,22,6.650203109596896,,,2.0,11.0
3.012845514210884,3.27064120682434,17.910994331840143,14.07530155947807,4.717990599179352,cluster,71,12.009011774873404,,,4.0,18.0
4.828729111737557,4.8914056728085855,20.790304335537378,9.603666232279137,4.5771148394665335,cluster,66,14.62936587604889,,,2.0,33.0
2.969608796062266,2.7664580082160506,23.35387079526703,15.018186902083036,2.556852051233088,cluster,32,8.870718898767937,,,2.0,16.0
3.556371865230098,5.479224199170691,11.191098769645443,16.657459417683206,5.050723190577266,row,99,3.614478758394123,1.0,99.0,,
4.109056876685534,4.23301284454891,20.972447355105437,16.59292611360233,3.63235644369922,cluster,74,4.386909088204018,,,2.0,37.0
3.090888807137882,4.182053020643268,12.811179161463734,13.778837314169442,4.827695961523209,cluster,40,8.910727260111724,,,2.0,20.0
4.915346248162882,4.573427246308311,22.87265579735746,7.889963351336514,4.448024499757537,cluster,85,8.404637262826704,,,2.0,43.0
4.887341884826334,5.386383380738022,22.285952707924842,11.824468199591662,3.699558238997675,row,73,2.9063363477624122,22.0,4.0,,
2.7553468874760925,3.7173322276576757,18.111906324783163,18.969965910023646,2.971016934864377,row,46,10.340200821492704,5.0,10.0,,
3.491745517677156,4.8730565339567224,20.653641979349672,14.597835826846538,2.830466141811683,cluster,57,2.2563299365371887,,,2.0,29.0
2.902634929450309,4.480061873985269,14.715251697756226,13.998315262324274,5.410314165892783,cluster,77,9.22673854729177,,,1.0,77.0
2.8545214831324026,3.434598945592975,17.06751848399222,10.495095686968515,5.714391397285453,cluster,81,8.3533919516526,,,6.0,14.0
2.1106608420635986,5.575204952243054,22.324553465657075,11.789835958915525,4.774258163675048,row,65,10.2571069588152,3.0,22.0,,
3.8286930019396905,5.290991075624248,16.888977957598208,18.6394991589912,2.8620194020116916,cluster,30,10.256912062273882,,,3.0,10.0
3.5080370696865844,4.804581421304489,15.366973979881628,15.664019617848865,3.907095259108843,cluster,91,2.758041419087109,,,2.0,46.0
2.154436253749968,5.477036051829847,17.4131867087545,17.236031347780326,5.0512872003680505,cluster,27,6.425812640574472,,,1.0,27.0
2.835939392709834,5.535529703359308,22.423738786558275,12.906490499879517,5.229373094035239,row,90,12.15180963123909,7.0,13.0,,
4.724797657899961,4.9792704185026215,15.02812071056309,15.193213852930054,2.91376517801881,cluster,83,23.55699906538488,,,4.0,21.0
2.7186856720009174,5.429546649272853,12.606423897036157,10.228986913661698,2.5001075159588386,cluster,40,6.624198027583935,,,3.0,14.0
2.4346846162736693,4.941150115842493,20.68021030496171,16.17099079368532,4.992479660582117,row,91,4.726561202495626,13.0,7.0,,
3.468358280832689,4.880492701161051,22.389673190621227,12.558817338143385,3.7480866159517197,row,82,15.884872256891104,12.0,7.0,,
4.956951362331802,4.665139823753146,11.509562177853,12.753091692591692,3.390684660663911,cluster,83,6.744376376331915,,,8.0,11.0
2.726165814534501,5.134508238451744,13.59811169133917,15.441190219499461,2.545141144263339,row,39,8.913008619741952,5.0,8.0,,
4.016406642217635,3.055117868525758,12.12957984641491,19.171648079096045,4.391047923665249,cluster,27,9.341016807666193,,,1.0,27.0
4.284858845986153,5.58304765719625,15.2191211737325,7.832082505912072,5.479027573990936,row,77,2.9345740300153684,5.0,16.0,,
2.712912631977199,5.551452347108312,16.75526468358119,17.7216620855111,5.851710761954058,row,65,5.596191115966672,4.0,17.0,,
4.184649045835579,2.602365490620957,21.232395054449597,10.800980435358511,4.480107327146513,cluster,50,7.086821799204179,,,3.0,17.0
3.10334939815776,5.390358626976669,19.767213773225112,12.770952908582911,4.300614647089629,cluster,28,11.132987262602354,,,1.0,28.0
3.8969174917807385,2.9510445361570583,19.313928512176467,7.2848732740751165,2.797697349212344,cluster,34,18.586571035099816,,,1.0,34.0
3.900589132282684,3.6729159899069965,15.285624199144817,10.91359901184607,4.421054805399099,row,45,6.655233323267589,13.0,4.0,,
3.6073240522242753,5.102278897020627,22.6217132962714,13.534206154191697,3.829926776378881,cluster,29,14.976154725493936,,,1.0,29.0
2.270869310163225,3.0626596361690788,17.069307510972468,7.730289005516707,4.6249734830925195,cluster,48,1.7011517469392106,,,3.0,16.0
4.505907486767714,5.362884584416718,24.686574070227316,13.384244481981147,3.8605422175679136,cluster,99,13.16420943904815,,,9.0,11.0
2.9623401949152077,5.412469622852097,19.512132074436053,19.052438175159555,3.3410469320762837,cluster,55,2.4216399001250264,,,5.0,11.0
2.5595555311995626,4.276137068162926,11.89397112346754,8.370111835401469,2.832378463299318,cluster,56,12.037969655070631,,,4.0,14.0
2.1223254246642917,2.5223505510089175,20.14266343113151,16.937729464981558,3.602214556061135,row,90,8.380173343611586,4.0,23.0,,
3.7726788295647253,3.5046334661121947,14.876560231475484,12.325723693887905,2.838256920007133,cluster,42,13.056391068902366,,,2.0,21.0
4.032693085526847,4.659244214315098,20.29490795029146,15.517258288816395,3.1191393278839437,cluster,60,16.967692128921097,,,1.0,60.0
2.0497634867835686,5.934151623095982,11.044617222436086,10.383075773807981,5.955676555028411,row,99,6.997562696073549,3.0,33.0,,
3.536279174897843,4.711347344558339,12.62322155763939,9.073399413037658,4.054362449173166,cluster,47,17.18720010757518,,,2.0,24.0
2.679487325593814,3.4093125337245596,22.836058883586794,9.086013985525945,4.361551182767558,cluster,67,9.948429388194718,,,5.0,14.0
3.9355183712283495,4.719019960848639,13.407693355352723,7.91639529336088,5.557664850580254,cluster,57,18.343308438678445,,,5.0,12.0
2.523099287014974,4.389948829005494,22.555616878644102,9.413407163716158,5.984491151717407,cluster,50,7.1330376296188405,,,4.0,13.0
4.072813214307398,5.229458883029002,14.189141326816156,15.634852004856587,4.539500572706386,cluster,33,4.181923303683208,,,2.0,17.0
3.1602060389016122,2.8744322358943544,19.643228650880616,18.461977953965604,5.3436583736546,row,92,9.091279931295212,10.0,10.0,,
4.810189966210204,5.163597658757098,20.412258602647466,17.5836339126851,3.6442935851783633,row,96,5.151365803507218,15.0,7.0,,
2.4125628324379798,4.394433025366386,17.689821297175794,15.906746028368293,3.570103851065519,row,48,7.638706274671863,10.0,5.0,,
3.0231990531507753,5.870472013506481,14.57966015045097,8.435614224344334,3.909463023480961,cluster,70,8.075626063401115,,,1.0,70.0
2.340420563721767,3.696552581135401,13.189665645566443,10.759436801847347,4.853775419357772,row,68,7.727107467858843,7.0,10.0,,
4.774080854835688,4.714176625968818,10.497840318436394,11.027489379192097,4.887670912392846,cluster,62,2.602883376980302,,,6.0,11.0
4.6320180601429435,5.762098369285061,14.559196018610857,10.249440303169076,3.603338021273078,cluster,91,6.3772800729479675,,,3.0,31.0
2.773824883145467,2.8587840479673776,19.797441857969247,13.6950735762264,2.9662347344782005,cluster,24,7.519803042052886,,,2.0,12.0
3.9799521381025373,5.780299705327579,24.07457227672724,13.962199593435743,4.71338689762928,row,61,19.01329013904466,21.0,3.0,,
4.451666600603648,4.907600028052847,23.068067233945783,11.639517677224433,2.949140517660676,row,26,9.910481287175864,12.0,3.0,,
3.665602434798387,2.7374297068681015,21.49097164802954,11.599259063573669,4.524723778802655,row,61,8.832907311230567,1.0,61.0,,
3.5889517350680196,3.553372484313857,21.826710148799478,17.77122277277906,4.926977448197082,cluster,55,13.337019826623907,,,5.0,11.0
2.725556872701355,4.978602310258486,19.97477355213993,17.260807028155913,4.952140237380581,row,46,8.768300183238837,3.0,16.0,,
2.2793083034176975,2.735727105140701,13.904302863490045,11.001345811849694,5.137152387308589,cluster,77,4.20570600383402,,,6.0,13.0
4.69164727385998,4.537596610616957,23.607925460587445,18.87924977035237,5.5550079754798265,row,65,11.019148937374066,19.0,4.0,,
4.701254171489992,3.7105906993353486,20.06098467858751,19.38659522103258,4.249856471876759,row,85,6.956206479540429,1.0,85.0,,
3.8993043718198037,4.67320431218617,18.406609464706598,11.247653046390532,5.055872163353499,cluster,44,18.90030483077166,,,3.0,15.0
3.017089373146102,2.660097118343795,11.664842038202217,11.607524334309712,4.667104573780429,cluster,92,3.2821549062120554,,,9.0,11.0
3.047628723837983,5.550378821533317,16.705833157096382,13.573243994485464,3.153239789291889,row,46,6.623306455427782,10.0,5.0,,
4.177867036610718,5.907211392120889,16.905374068028895,19.234570562937755,2.5899137570429285,row,20,2.5747165746458407,4.0,5.0,,
4.691330779857731,5.89107249349992,22.968454142840052,18.39215263085005,3.495894849869268,row,93,7.0276496957496155,17.0,6.0,,
4.661259272795352,5.123781411100237,18.199723302816828,8.333383513586668,4.0506179721816675,cluster,61,18.70153212555406,,,5.0,13.0
4.339626637572872,2.955301840457212,15.706008234556144,12.10549966252841,4.659870805500297,cluster,71,6.098427604659728,,,4.0,18.0
3.9260949384628634,5.153921185751579,24.65200492765989,14.193825466747034,5.474857656761219,row,44,3.3775618066443216,1.0,44.0,,
2.2524198949851466,2.5860542076058053,11.660808899894736,13.54072214317002,3.1868600084715797,row,73,5.935214964336039,6.0,13.0,,
2.484886142283841,2.5774324303514904,16.33822642467917,9.520219883179605,2.93942426464467,cluster,86,1.3539189307263293,,,8.0,11.0
4.695662565581237,3.6326357670233946,10.63037012757108,18.16461802518601,5.872179816160147,row,25,4.1389809445466685,3.0,9.0,,
3.8192871789787697,4.21025116641633,21.098561811503956,15.800230178958886,2.878155957817425,cluster,77,15.790141670139914,,,3.0,26.0
2.027591154849889,5.196425962327276,23.77114828298726,17.89280887307345,4.174718745375162,cluster,89,8.052841963504026,,,4.0,23.0
2.304414628598096,4.8915338181227686,14.200559943257343,18.16393563154314,4.549473050776557,cluster,72,10.642074096524766,,,3.0,24.0
3.9905053073241676,4.060659472318619,22.875125151986815,16.72862609765462,4.394810473176034,cluster,85,17.3400203735273,,,2.0,43.0
2.015184751538656,3.4576933319858307,14.383273456928467,12.709737816246324,2.801112549615301,cluster,77,7.2028547752605405,,,2.0,39.0
2.482424154252496,5.9899357505519895,23.66155242465873,14.93710781520052,2.699594199012668,cluster,21,1.8258176477352133,,,2.0,11.0
3.6462013680997583,3.9916345578259054,21.30942855395176,9.084750279556662,2.8691919961136247,row,95,14.668007342680681,11.0,9.0,,
4.07568559307808,4.079854585153864,22.07360165262158,15.7573904271738,4.5495568935541435,cluster,41,17.545005833944913,,,3.0,14.0
3.9558837785078014,3.0726833741708424,10.270098334006818,9.33029232461065,4.405207106720123,cluster,56,16.202784330949065,,,3.0,19.0
2.6728079283816792,5.281833420624753,24.44215535611039,16.02134467663204,3.3180927721286047,row,39,7.452204550633059,9.0,5.0,,
4.136537664042608,4.927887790235211,20.90006488105485,9.984776089801592,4.7322094964595705,cluster,43,6.403601356213903,,,3.0,15.0
